               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.020188,           0.0036687,            0.012996,             0.67983,             0.64526,             0.67734,             0.38417,            0.018341,           0.0029344,            0.012971,           0.0085943,           0.0085943,           0.0085943
                 125,            0.020824,           0.0038022,            0.013042,             0.64937,             0.64566,             0.65711,             0.35101,            0.019208,           0.0030134,            0.013577,           0.0085829,           0.0085829,           0.0085829
                 126,            0.020714,           0.0035972,            0.011728,              0.6937,             0.66553,              0.7056,             0.39342,            0.018608,           0.0028787,            0.012365,           0.0085714,           0.0085714,           0.0085714
                 127,            0.020343,           0.0037873,            0.012242,             0.71059,              0.6753,             0.71497,             0.40265,             0.01841,            0.002946,             0.01046,             0.00856,             0.00856,             0.00856
                 128,             0.02075,           0.0037378,            0.011383,             0.71027,             0.63451,             0.69396,             0.38788,            0.018579,           0.0029831,            0.011341,           0.0085486,           0.0085486,           0.0085486
                 129,            0.020413,           0.0035463,            0.011462,             0.66993,             0.66191,             0.69368,             0.38091,            0.019209,           0.0029095,            0.012654,           0.0085371,           0.0085371,           0.0085371
                 130,            0.020308,           0.0037634,            0.011141,             0.67545,              0.6489,             0.69194,             0.37954,            0.018775,           0.0029461,            0.014072,           0.0085257,           0.0085257,           0.0085257
                 131,            0.019973,           0.0035414,            0.012148,             0.72043,             0.67096,             0.71847,             0.40193,            0.018324,           0.0028987,            0.011457,           0.0085143,           0.0085143,           0.0085143
                 132,            0.021017,           0.0037443,            0.012428,             0.69845,             0.67217,             0.70391,             0.39132,            0.019058,           0.0029725,            0.010601,           0.0085029,           0.0085029,           0.0085029
                 133,            0.020286,           0.0037759,            0.012331,             0.66723,              0.6424,             0.66135,             0.36554,            0.018738,            0.002944,            0.013064,           0.0084914,           0.0084914,           0.0084914
                 134,            0.020143,           0.0036165,            0.013092,             0.70501,             0.66472,             0.70901,             0.40293,            0.018267,           0.0028446,            0.011627,             0.00848,             0.00848,             0.00848
                 135,            0.020525,           0.0038564,            0.012287,             0.69949,             0.67092,             0.71195,             0.39892,            0.018339,           0.0028757,            0.011928,           0.0084686,           0.0084686,           0.0084686
                 136,             0.02038,           0.0036524,            0.011735,             0.72145,             0.69049,             0.74245,             0.42589,            0.018146,           0.0028172,            0.010984,           0.0084571,           0.0084571,           0.0084571
